id,name
2803476,Zwoenitz
2803651,Zuessow
2803474,Zwota
2803781,Zschornewitz
2803823,Zscherndorf
2803825,Zscherben
2803848,Zschadrass
2806062,Woessingen
2804109,Ostseebad Zinnowitz
2804121,Zinna
2804745,Zerf
2803776,Zschortau
2804268,Ziesendorf
2804895,Zell
2804933,Zeitlarn
2803824,Zscherben
2803875,Zoeschen
2803889,Zorge
2804791,Zemmer
2804882,Zell
2804654,Zeulenroda
2804951,Zeiskam
2805059,Zehlendorf Bezirk
2805313,Zahna
2805365,Zabeltitz
2806007,Wrestedt
2806079,Worth an der Isar
2806097,Wort
2806162,Woerlitz
2805195,Zarrendorf
2805870,Wulften
2805928,Wuelfershausen
2805448,Wustrow
2805667,Wurmlingen
2805785,Wuennenberg
2805945,Wulfen
2805006,Zeilarn
2805193,Zarrentin
2805198,Zarpen
2805223,Zappendorf
2805400,Wyhl
2805773,Wuenschendorf
2805865,Wulkenzin
2805994,Wrist
2806108,Worpswede
2806192,Worbis
2805008,Zeil
2805483,Wusterhausen
2806285,Woltersdorf
2806919,Wolfen
2807579,Wippra
2806489,Wolken
2807214,Wittorf
2806633,Wolfsegg
2806884,Wolferode
2807215,Wittnau
2807229,Wittmar
2806287,Woltersdorf
2806442,Wollbach
2806788,Woelfis
2807020,Wohnbach
2807154,Witzmannsberg
2807325,Wittenhagen
2807411,Wistedt
2807440,Wissen
2806474,Wolkenstein
2807201,Wittstock
2806310,Wolsdorf
2807068,Wohldorf-Ohlstedt
2807177,Witzhave
2807279,Wittgensdorf
2807558,Wirdum
2807625,Wipfeld
2808649,Wilhermsdorf
2808664,Wilhelmsruh
2807757,Winterhausen
2808219,Windesheim
2808514,Willmering
2808745,Wilhelmsdorf
2808746,Wilhelmsdorf
2807596,Wipperdorf
2807696,Wintersdorf
2808067,Wingerode
2808263,Windeby
2808279,Windberg
2808417,Wilstedt
2808810,Wildsteig
2809013,Wildberg
2807825,Winterbach
2807846,Winsen
2808241,Winden
2808359,Wimmelburg
2808404,Wiltingen
2808408,Wilsum
2808970,Wildenberg
2808189,Windhausen
2808947,Wildenhain
2809468,Wiemersdorf
2809524,Wiehe
2809567,Wiederstedt
2810014,Wetschen
2809259,Wiesenburg
2810110,Westhofen
2810337,Westerheim
2809403,Wiernsheim
2809509,Wiek
2810125,Westheim
2810136,Westhausen
2810214,Wester-Ohrstedt
2810300,Westerhorn
2810317,Westerholt
2810336,Westerheim
2809210,Wiesent
2809277,Wiesenbach
2809291,Wiesen
2809367,Wiesa
2809550,Wiednitz
2809861,Wewelsfleth
2809897,Wetzendorf
2809984,Wetter (Ruhr)
2810128,Westheim
2810364,Westergellersen
2810662,Wesenberg
2810728,Wertach
2810860,Werlte
2810898,Werftpfuhl
2810945,Werder
2811160,Weng
2811278,Wenden
2810531,Westendorf
2810559,Weste
2810775,Wernshausen
2810970,Werda
2811277,Wenden
2811532,Wellen
2811537,Welle
2810533,Westendorf
2811173,Wendtorf
2811611,Weitramsdorf
2810505,Westensee
2810608,Wesseln
2811011,Wenzendorf
2811187,Wendorf
2811387,Welsleben
2810828,Wernersberg
2811461,Wellingsbuettel
2811927,Weissenborn-Luederode
2812197,Weingarten
2812515,Weilheim
2811665,Weitenhagen
2811934,Weissenborn
2812148,Weinsheim
2812149,Weinsheim
2812516,Weilheim
2812568,Weilerbach
2812917,Weiding
2811652,Weitersburg
2811683,Weiten
2812036,Weissbach
2812092,Weisenbach
2812644,Weil
2811685,Weitefeld
2811937,Weissenborn
2812095,Weisen
2812099,Weisel
2812196,Weingarten
2811715,Weissig
2811860,Weissensee
2812145,Weinstadt-Endersbach
2812584,Weiler
2812670,Weihmichl
2813023,Weidenbach
2813040,Weiden
2813405,Weferlingen
2813531,Wechingen
2813732,Wasserleben
2813935,Wartenberg
2814131,Waren
2814146,Wardenburg
2813407,Wefensleben
2813624,Wattmannshagen
2813647,Wattenbek
2813681,Watenbuettel
2813932,Wartenberg
2813180,Weibern
2813493,Weddelbrook
2813864,Wasbek
2813262,Wehr
2813480,Weddersleben
2813758,Wasserburg
2814043,Warnow
2814053,Warngau
2814241,Wanna
2813110,Weida
2813259,Wehr
2813787,Wassenach
2814133,Wardow
2814279,Wangen
2814313,Wandersleben
2814747,Walheim
2815101,Waldeck
2814312,Wanderup
2814478,Walsdorf
2814775,Waldstetten
2815075,Waldenburg
2814479,Walschleben
2814572,Wallhausen
2814776,Waldstetten
2814795,Waldsee
2814878,Waldkirchen
2814956,Waldheim
2815074,Waldenburg
2815128,Waldburg
2815132,Waldbrunn
2814294,Wang
2814512,Wallwitz
2814557,Wallmenroth
2814571,Wallhausen
2814591,Wallertheim
2814612,Wallerfing
2814640,Wallendorf
2815138,Waldbreitbach
2815198,Wald
2815803,Waal
2816043,Vorra
2815204,Wald
2815507,Wagenhoff
2815987,Vorwerk
2816127,Vordorf
2816503,Vorbach
2816660,Voelkershausen
2815205,Wald
2815300,Wain
2815315,Waidhofen
2815412,Wahlitz
2815623,Wacken
2816596,Volkstedt
2816619,Volkmarode
2815488,Waggum
2815604,Wackerow
2815782,Wachau
2815784,Wabern
2815218,Walchum
2815375,Wahn-Heide
2816578,Vollersode
2816687,Volkenschwand
2816690,Voelkenrode
2816734,Voigtstedt
2817080,Vockerode
2817105,Vlotho
2817717,Velden
2817719,Velden
2817873,Varel
2816795,Vogtareuth
2817953,Vagen
2816796,Vogt
2817168,Vinningen
2817375,Viereck
2817517,Vetschau
2817904,Valley
2817523,Vestenbergsgreuth
2817806,Veckenstedt
2817965,Vachendorf
2817230,Villenbach
2817339,Vierkirchen
2817616,Venusberg
2817673,Veltenhof
2817783,Vegesack
2817976,Vaale
2818014,Utting am Ammersee
2818025,Uttenweiler
2819399,Unterhausen
2818059,Uthlede
2818243,Urbach
2820058,Unter-Abtsteinach
2820084,Unnau
2820178,Ummendorf
2820179,Ummendorf
2818229,Urbar
2819081,Untermeitingen
2820217,Ulrichstein
2818060,Uthleben
2818107,Usedom
2818232,Urbach-UEberdorf
2819282,Unterjettingen
2818322,Untrasried
2818929,Unterpleichfeld
2820314,Uhyst
2820413,Uftrungen
2820882,Trusetal
2820322,Uehrde
2820529,Uchtspringe
2820736,Tuernich
2820312,Uichteritz
2820452,Uenglingen
2820457,Uelversheim
2820912,Trulben
2821043,Trogen
2820856,Tucheim
2822883,Theisseil
2821143,Triftern
2821157,Trierweiler
2820419,Uffing
2820439,Uettingen
2820499,Udenheim
2820624,Tschernitz
2820964,Trostberg an der Alz
2821106,Trinwillershagen
2821192,Triebes
2821211,Tribsees
2821548,Trassem
2821843,Toppenstedt
2822436,Tiefenbach
2822443,Tiefenbach
2821418,Trebsen
2821439,Trebitz
2821633,Train
2821930,Tollwitz
2822029,Todendorf
2822159,Timmenrode
2822168,Timmaspe
2821504,Trausnitz
2821558,Trappenkamp
2821956,Tolk
2822017,Todesfelde
2822151,Timmerlah
2821389,Treia
2821416,Trebur
2822903,Theilheim
2822118,Tinnum
2822563,Thungersheim
2822736,Thierstein
2823081,Thalheim
2823625,Teichwolframsdorf
2822531,Thurmansbang
2823418,Tessin
2823515,Tengen
2822822,Theuma
2823078,Thalheim
2824152,Tannenberg
2823667,Teicha
2823764,Tautenhain
2822522,Thurnau
2822570,Thune
2823259,Teugn
2823358,Teuchel
2823497,Tennenbronn
2823795,Taura
2822556,Thuer
2822881,Theissen
2822958,Thannhausen
2823162,Thal
2824000,Tappenbeck
2824245,Tangstedt
2824730,Sulzheim
2823936,Tating
2823981,Tarnow
2824246,Tangstedt
2824316,Talheim
2824729,Sulzheim
2824926,Sukow
2824937,Suelstorf
2824940,Suhlendorf
2823811,Taufkirchen
2824053,Tannheim
2824227,Tanna
2824448,Syrau
2824741,Sulzfeld
2824742,Sulzfeld
2824770,Sulzdorf
2823978,Tarp
2824319,Talheim
2824379,Tagmersheim
2824609,Sueplingen
2825225,Suddendorf
2826341,Stotten am Auerberg
2826536,Stolpe
2826671,Stockstadt am Rhein
2827552,Stellingen
2825422,Stuhr
2825715,Stromberg
2826120,Strasskirchen
2826749,Stoeckheim
2827240,Stetten
2827527,Stelzenberg
2827574,Stelle
2825577,Struvenhutten
2826258,Strasburg
2826359,Stossdorf
2826594,Stolberg
2826741,Stockheim
2826743,Stockheim
2827216,Stetten am Kalten Markt
2827284,Sterup
2825148,Sudergellersen
2825519,Stubenberg
2826670,Stockstadt am Main
2826861,Stockelsdorf
2827197,Stettfeld
2827870,Steinkirchen
2827988,Steinheim am der Murr
2828045,Steinhagen
2828050,Steinhagen
2828141,Steinfeld
2828907,Steinach
2828913,Steinach
2828994,Steilshoop
2829204,Steeden
2829322,Staufenberg
2829582,Stammham
2827613,Steinwenden
2827999,Steinheid
2828428,Steinberg
2828984,Steimel
2829210,Stedten
2829513,Stapelburg
2827862,Steinkirchen
2827994,Steinheim
2829581,Stammham
2827951,Steinhorst
2828228,Steinen
2828795,Steinbach
2828805,Steinbach
2828911,Steinach
2828923,Steina
2829333,Staufen
2830959,Sorgenloch
2831269,Sondheim vor der Rhoen
2829858,Stadensen
2830449,Spiesheim
2830622,Sperenberg
2832884,Seubersdorf
2831502,Sollstedt
2830620,Spergau
2830637,Spenge
2830674,Speicher
2831091,Sontheim an der Brenz
2831097,Sontheim
2831242,Sonneborn
2830912,Sosa
2831594,Solden
2831684,Sohland am Rotstein
2832012,Simmern
2832915,Seth
2832276,Sieverstedt
2832406,Siek
2831727,Soedel
2831787,Sitzendorf
2831992,Simmozheim
2832025,Simmelsdorf
2832743,Siebeldingen
2832835,Seyda
2832871,Seukendorf
2832114,Silberstedt
2832280,Sievershuetten
2832529,Siefersheim
2832561,Langenhorn
2831685,Sohland
2831838,Sippersfeld
2831888,Sinnersdorf
2831907,Singhofen
2831942,Sindelsdorf
2832078,Sillenstede
2832333,Siersdorf
2832778,Sickenhausen
2833079,Senden
2833184,Sellin
2833269,Selbitz
2833488,Sehlen
2833521,Seggebruch
2833704,Seelbach
2833988,Seebad Heringsdorf
2833138,Selters
2833154,Selsingen
2833754,Seehof
2834020,Seebach
2834082,Seck
2834334,Schwendi
2833076,Sendenhorst
2833129,Selzen
2833259,Selent
2833491,Sehlem
2833800,Seehausen
2833893,Seedorf
2834028,Seebach
2847247,Rieden
2833012,Sennewitz
2833080,Senden
2833139,Selters
2833461,Seibersbach
2833866,Seefeld
2834594,Schweich
2835018,Schwarzenbach an der Saale
2835421,Schwaig
2847271,Riede
2834963,Schwarzenborn
2835496,Schwabhausen
2834646,Schwedelbach
2835184,Schwarzach
2835223,Schwarme
2836031,Schuby
2834611,Schwegenheim
2835034,Schwarzenbach
2835297,Schwandorf in Bayern
2835380,Schwalbach
2835382,Schwalbach
2835185,Schwarzach
2835193,Schwarza
2835342,Schwalmtal
2835343,Schwalmtal
2835512,Schwabenheim
2835944,Schuelp
2836319,Schorndorf
2836407,Schopfloch
2836480,Schonsee
2836587,Schoenhausen
2836616,Schongau
2836761,Schoenefeld
2837064,Schonau
2837470,Schneeberg
2836469,Schonstett
2837022,Schonbach
2837236,Schobuell
2836409,Schopfloch
2836438,Schonwalde am Bungsberg
2836680,Schoenewalde
2836952,Schoenberg
2837062,Schonau
2837117,Schomberg
2837225,Schochwitz
2836402,Schopp
2836658,Schonfeld
2847319,Ried
2837072,Schonau
2837385,Schneidlingen
2837780,Schmiedefeld
2836908,Schonborn
2838529,Schlierbach
2839212,Schillingsfurst
2839222,Schillingen
2839613,Schesslitz
2839623,Scherstetten
2839670,Schermen
2838075,Schmalfeld
2838793,Schlegel
2838938,Schlaitz
2838208,Schluchsee
2838531,Schlier
2838725,Schleife
2839074,Schirmitz
2839658,Schernberg
2839812,Schellhorn
2837954,Schmelz
2847429,Rickling
2838671,Bad Schlema
2838922,Schlangen
2838955,Schlagsdorf
2847433,Rickert
2839581,Scheuerfeld
2840070,Scheessel
2840420,Schapen
2840647,Schafstaedt
2840936,Schacht-Audorf
2841380,Sasbach
2841457,Sankt Wolfgang
2841488,Sankt Peter
2841517,Sankt Martin
2841619,Sankt Georgen im Schwarzwald
2841636,Sankt Gangloff
2841027,Schaalby
2841374,Sasel
2841381,Sasbach
2841523,Sankt Margarethen
2841590,Sankt Ingbert
2840337,Scharfenstein
2841320,Satrup
2841321,Satow-Oberhagen
2841546,Sankt Kilian
2841577,Sankt Johann
2840117,Schechen
2840232,Schashagen
2841876,Sandersleben
2842331,Salach
2843258,Ruhla
2842203,Salz
2842518,Sachsenhausen
2842568,Sachsen
2842656,Saara
2842728,Saal
2842974,Ruppertshofen
2843043,Rueningen
2841879,Sandersdorf
2841935,Sandberg
2842047,Sand
2842060,Samswegen
2842861,Rust
2843148,Rullstorf
2843185,Ruhstorf
2842124,Salzmuende
2842315,Salching
2841684,Alt-Sanitz
2841874,Sandesneben
2842638,Saarhoelzbach
2842725,Saal
2842824,Rutesheim
2842964,Ruppertsweiler
2842981,Ruppertsberg
2843667,Rottleberode
2843728,Rottenburg an der Laaber
2844072,Rothenbuch
2844148,Rothenbach
2844434,Rotenburg an der Fulda
2844437,Rotenburg
2844658,Rossla
2844910,Rosenthal
2843497,Ruckersdorf
2843738,Rottenbach
2843741,Rottenbach
2843743,Rottenbach
2844062,Rothenburg
2844249,Roth
2844579,Rot
2843445,Rudelzhausen
